date,amount,category,description
2025-04-07,53.91,Dining,Domino's pizza order
2025-04-07,199.39,Shopping,Apple Store accessory
2025-04-07,118.27,Groceries,Costco bulk buy
2025-04-08,43.34,Transportation,Car wash service
2025-04-08,35.56,Dining,McDonald's meal
2025-04-09,-2892.84,Salary,Monthly salary deposit
2025-04-09,322.42,Subscriptions,UNUSUAL: Spotify premium
2025-04-09,185.26,Utilities,Gas company payment
2025-04-10,989.26,Rent,Housing lease payment
2025-04-10,164.71,Groceries,Safeway essentials
2025-04-10,48.74,Dining,Thai food takeout
2025-04-10,135.78,Groceries,Fresh produce market
2025-04-11,83.66,Groceries,Aldi supermarket
2025-04-11,51.02,Transportation,Uber ride
2025-04-11,56.01,Dining,Panda Express
2025-04-11,19.32,Transportation,Toll road charge
2025-04-11,87.99,Shopping,Nike online purchase
2025-04-12,123.78,Shopping,Nike online purchase
2025-04-12,216.37,Shopping,IKEA furniture
2025-04-13,203.42,Groceries,Costco bulk buy
2025-04-13,97.5,Groceries,Trader Joe's groceries
2025-04-13,109.89,Transportation,Parking garage fee
2025-04-14,59.81,Entertainment,Theme park tickets
2025-04-14,103.78,Utilities,Electricity monthly charge
2025-04-14,41.31,Transportation,Parking garage fee
2025-04-14,110.8,Shopping,Nike online purchase
2025-04-14,192.92,Shopping,Apple Store accessory
2025-04-15,19.04,Subscriptions,Gym membership fee
2025-04-15,131.28,Shopping,Apple Store accessory
2025-04-15,251.7,Healthcare,Urgent care visit
2025-04-16,58.6,Entertainment,Comedy show tickets
2025-04-16,40.54,Transportation,Oil change service
2025-04-17,52.33,Transportation,Toll road charge
2025-04-17,56.18,Entertainment,Museum admission
2025-04-17,17.94,Subscriptions,Netflix monthly subscription
2025-04-18,167.1,Healthcare,Pharmacy prescription
2025-04-18,135.17,Groceries,Kroger weekly shopping
2025-04-19,91.33,Transportation,Bus pass monthly
2025-04-20,152.39,Groceries,Whole Foods Market
2025-04-20,41.92,Subscriptions,YouTube Premium
2025-04-21,179.21,Groceries,Local farmer's market
2025-04-21,20.11,Dining,Sushi restaurant
2025-04-21,75.11,Transportation,Subway fare
2025-04-21,74.49,Dining,Chipotle lunch
2025-04-21,166.35,Groceries,Whole Foods Market
2025-04-21,55.92,Dining,Burger King drive-thru
2025-04-22,169.84,Entertainment,Bowling alley
2025-04-22,125.41,Groceries,Costco bulk buy
2025-04-22,33.99,Dining,Domino's pizza order
2025-04-23,62.78,Groceries,Fresh produce market
2025-04-23,40.6,Dining,Taco Bell late night
2025-04-23,286.53,Healthcare,Lab work fees
2025-04-24,324.44,Shopping,Nike online purchase
2025-04-24,20.23,Subscriptions,Hulu streaming service
2025-04-25,331.08,Healthcare,Dental checkup
2025-04-25,78.89,Entertainment,Escape room experience
2025-04-25,135.14,Shopping,Zara clothing
2025-04-25,61.05,Transportation,Parking garage fee
2025-04-25,123.71,Shopping,Target household items
2025-04-25,82.26,Shopping,Zara clothing
2025-04-25,222.13,Shopping,Etsy handmade item
2025-04-26,130.88,Groceries,Aldi supermarket
2025-04-26,53.74,Dining,Chipotle lunch
2025-04-27,51.42,Subscriptions,iCloud storage plan
2025-04-27,16.76,Subscriptions,Microsoft 365 subscription
2025-04-27,168.65,Shopping,Amazon order
2025-04-29,114.16,Utilities,Electricity monthly charge
2025-04-29,108.29,Entertainment,Video game purchase
2025-04-29,40.56,Subscriptions,Disney+ subscription
2025-04-29,46.67,Dining,Thai food takeout
2025-04-29,33.82,Dining,Taco Bell late night
2025-04-30,118.83,Groceries,Costco bulk buy
2025-04-30,116.29,Groceries,Fresh produce market
2025-04-30,32.73,Dining,McDonald's meal
2025-04-30,53.52,Dining,Pizza Hut delivery
2025-04-30,89.04,Groceries,Kroger weekly shopping
2025-04-30,39.19,Transportation,Subway fare
2025-05-01,37.55,Dining,McDonald's meal
2025-05-02,121.81,Dining,Domino's pizza order
2025-05-02,97.65,Groceries,Aldi supermarket
2025-05-02,32.6,Transportation,Train ticket
2025-05-03,23.67,Dining,Chipotle lunch
2025-05-03,186.96,Entertainment,Streaming movie rental
2025-05-03,79.87,Transportation,Subway fare
2025-05-03,93.2,Entertainment,Escape room experience
2025-05-03,94.17,Shopping,Zara clothing
2025-05-03,42.75,Transportation,Parking garage fee
2025-05-04,44.59,Transportation,Car wash service
2025-05-04,24.81,Subscriptions,Adobe Creative Cloud
2025-05-05,347.07,Healthcare,Doctor visit copay
2025-05-05,53.66,Entertainment,Bowling alley
2025-05-06,48.33,Dining,Pizza Hut delivery
2025-05-06,97.7,Groceries,Kroger weekly shopping
2025-05-06,108.37,Shopping,Apple Store accessory
2025-05-06,41.29,Dining,McDonald's meal
2025-05-07,167.29,Groceries,Fresh produce market
2025-05-07,85.56,Shopping,Nike online purchase
2025-05-07,77.56,Transportation,Gas station fill-up
2025-05-07,59.01,Dining,Panda Express
2025-05-07,18.25,Subscriptions,iCloud storage plan
2025-05-07,202.61,Shopping,Target household items
2025-05-08,185.85,Groceries,Target grocery run
2025-05-08,130.32,Healthcare,Dental checkup
2025-05-08,53.11,Groceries,Fresh produce market
2025-05-09,46.2,Dining,Sushi restaurant
2025-05-09,127.12,Utilities,Gas company payment
2025-05-10,69.28,Utilities,Gas company payment
2025-05-10,82.86,Dining,Local cafe breakfast
2025-05-10,2059.14,Rent,Monthly apartment rent
2025-05-11,57.1,Dining,McDonald's meal
2025-05-11,53.54,Entertainment,Concert admission
2025-05-11,112.62,Healthcare,Pharmacy prescription
2025-05-12,-3687.69,Salary,Monthly salary deposit
2025-05-12,57.41,Dining,Olive Garden dinner
2025-05-13,45.52,Dining,Local cafe breakfast
2025-05-13,116.31,Groceries,Walmart grocery purchase
2025-05-13,33.53,Subscriptions,Disney+ subscription
2025-05-14,23.81,Dining,Chipotle lunch
2025-05-15,64.19,Dining,Burger King drive-thru
2025-05-15,87.48,Shopping,Best Buy electronics
2025-05-15,202.04,Groceries,Aldi supermarket
2025-05-16,81.33,Transportation,Subway fare
2025-05-16,29.56,Dining,Domino's pizza order
2025-05-16,74.14,Entertainment,Arcade gaming
2025-05-16,56.57,Transportation,Parking garage fee
2025-05-16,232.15,Healthcare,Dental checkup
2025-05-17,24.21,Dining,Sushi restaurant
2025-05-17,285.94,Groceries,Kroger weekly shopping
2025-05-17,44.86,Transportation,Toll road charge
2025-05-18,119.75,Shopping,Best Buy electronics
2025-05-18,35.08,Transportation,Toll road charge
2025-05-18,114.66,Shopping,Best Buy electronics
2025-05-19,49.0,Entertainment,Museum admission
2025-05-19,26.87,Dining,Olive Garden dinner
2025-05-19,129.9,Groceries,Fresh produce market
2025-05-19,103.57,Entertainment,Comedy show tickets
2025-05-19,97.53,Dining,Sushi restaurant
2025-05-20,37.23,Subscriptions,Netflix monthly subscription
2025-05-20,47.56,Transportation,Lyft trip
2025-05-20,46.92,Transportation,Subway fare
2025-05-21,37.32,Dining,Local cafe breakfast
2025-05-21,154.34,Utilities,Gas company payment
2025-05-21,25.12,Entertainment,Concert admission
2025-05-21,45.9,Transportation,Toll road charge
2025-05-21,45.63,Dining,Thai food takeout
2025-05-22,43.84,Dining,Thai food takeout
2025-05-22,103.45,Groceries,Local farmer's market
2025-05-23,46.85,Dining,Thai food takeout
2025-05-23,213.93,Healthcare,Doctor visit copay
2025-05-23,49.24,Groceries,Costco bulk buy
2025-05-23,46.08,Transportation,Bus pass monthly
2025-05-23,250.16,Utilities,Phone bill
2025-05-24,103.74,Groceries,Fresh produce market
2025-05-24,48.42,Transportation,Bus pass monthly
2025-05-24,109.52,Groceries,Fresh produce market
2025-05-25,137.05,Shopping,Apple Store accessory
2025-05-25,66.54,Entertainment,Concert admission
2025-05-26,528.53,Healthcare,Walgreens prescription
2025-05-27,224.96,Shopping,Amazon order
2025-05-27,107.35,Groceries,Aldi supermarket
2025-05-27,90.58,Groceries,Target grocery run
2025-05-28,75.65,Dining,Local cafe breakfast
2025-05-28,115.75,Groceries,Fresh produce market
2025-05-28,178.8,Shopping,Nike online purchase
2025-05-29,26.92,Transportation,Toll road charge
2025-05-29,2467.68,Healthcare,UNUSUAL: Doctor visit copay
2025-05-29,144.11,Groceries,Kroger weekly shopping
2025-05-30,113.79,Healthcare,Lab work fees
2025-05-31,84.84,Entertainment,Concert admission
2025-05-31,34.77,Dining,Chipotle lunch
2025-05-31,82.08,Transportation,Gas station fill-up
2025-05-31,278.57,Shopping,IKEA furniture
2025-06-01,155.57,Groceries,Fresh produce market
2025-06-01,28.65,Dining,Sushi restaurant
2025-06-01,48.38,Dining,Pizza Hut delivery
2025-06-01,45.14,Dining,Domino's pizza order
2025-06-03,112.38,Groceries,Kroger weekly shopping
2025-06-04,238.63,Shopping,IKEA furniture
2025-06-04,159.24,Shopping,Nike online purchase
2025-06-04,389.17,Healthcare,Pharmacy prescription
2025-06-04,39.9,Dining,McDonald's meal
2025-06-05,123.58,Shopping,Nordstrom apparel
2025-06-05,151.86,Healthcare,Pharmacy prescription
2025-06-05,36.65,Transportation,Gas station fill-up
2025-06-05,58.83,Dining,Thai food takeout
2025-06-06,16.48,Subscriptions,Amazon Prime renewal
2025-06-07,32.22,Transportation,Bus pass monthly
2025-06-07,33.79,Subscriptions,iCloud storage plan
2025-06-07,41.87,Dining,Thai food takeout
2025-06-07,1171.68,Rent,Monthly apartment rent
2025-06-08,47.75,Entertainment,Bowling alley
2025-06-08,55.26,Dining,Burger King drive-thru
2025-06-08,57.85,Dining,McDonald's meal
2025-06-08,66.82,Entertainment,Comedy show tickets
2025-06-08,32.2,Transportation,Parking garage fee
2025-06-09,31.19,Dining,Sushi restaurant
2025-06-09,322.79,Utilities,Comcast internet
2025-06-09,45.0,Transportation,Oil change service
2025-06-09,174.05,Shopping,IKEA furniture
2025-06-09,195.94,Groceries,Trader Joe's groceries
2025-06-09,66.28,Shopping,Etsy handmade item
2025-06-10,137.93,Shopping,Best Buy electronics
2025-06-10,172.3,Groceries,Fresh produce market
2025-06-10,203.32,Groceries,Whole Foods Market
2025-06-11,43.52,Dining,Local cafe breakfast
2025-06-11,-2795.35,Salary,Salary payment
2025-06-11,49.22,Transportation,Uber ride
2025-06-12,42.07,Entertainment,Escape room experience
2025-06-12,127.22,Shopping,Target household items
2025-06-12,40.45,Transportation,Subway fare
2025-06-13,54.46,Transportation,Parking garage fee
2025-06-13,34.54,Dining,Sushi restaurant
2025-06-13,189.29,Entertainment,Arcade gaming
2025-06-13,153.71,Shopping,IKEA furniture
2025-06-14,54.18,Transportation,Gas station fill-up
2025-06-15,203.61,Shopping,Nike online purchase
2025-06-15,66.97,Entertainment,Concert admission
2025-06-16,103.42,Groceries,Kroger weekly shopping
2025-06-16,54.88,Subscriptions,iCloud storage plan
2025-06-16,64.78,Dining,Chipotle lunch
2025-06-16,141.04,Utilities,Electric bill payment
2025-06-16,52.8,Dining,Local cafe breakfast
2025-06-16,23.13,Subscriptions,YouTube Premium
2025-06-16,125.19,Entertainment,Streaming movie rental
2025-06-17,40.05,Transportation,Car wash service
2025-06-17,78.55,Entertainment,Streaming movie rental
2025-06-18,81.26,Groceries,Walmart grocery purchase
2025-06-18,46.02,Dining,Chipotle lunch
2025-06-19,34.03,Dining,Burger King drive-thru
2025-06-20,23.01,Dining,Starbucks coffee
2025-06-20,41.94,Dining,McDonald's meal
2025-06-21,60.33,Transportation,Bus pass monthly
2025-06-22,14.15,Subscriptions,Adobe Creative Cloud
2025-06-22,232.39,Utilities,Phone bill
2025-06-22,40.68,Transportation,Parking garage fee
2025-06-22,251.14,Shopping,Home Depot supplies
2025-06-22,35.31,Transportation,Gas station fill-up
2025-06-23,112.78,Dining,McDonald's meal
2025-06-23,209.34,Shopping,Amazon order
2025-06-23,136.15,Groceries,Walmart grocery purchase
2025-06-24,46.28,Transportation,Car wash service
2025-06-24,41.95,Dining,Domino's pizza order
2025-06-24,89.23,Groceries,Trader Joe's groceries
2025-06-24,167.1,Healthcare,Walgreens prescription
2025-06-24,17.64,Dining,Thai food takeout
2025-06-25,159.58,Healthcare,Eye exam appointment
2025-06-25,117.22,Entertainment,Comedy show tickets
2025-06-25,26.69,Subscriptions,Gym membership fee
2025-06-25,173.05,Utilities,Water utility bill
2025-06-26,103.79,Shopping,Nike online purchase
2025-06-26,42.77,Dining,Olive Garden dinner
2025-06-26,216.68,Groceries,Target grocery run
2025-06-26,34.77,Dining,Burger King drive-thru
2025-06-26,179.12,Shopping,Amazon order
2025-06-26,38.9,Dining,Sushi restaurant
2025-06-26,113.23,Utilities,Electric bill payment
2025-06-27,56.48,Dining,Sushi restaurant
2025-06-27,36.96,Dining,Olive Garden dinner
2025-06-27,20.26,Subscriptions,Adobe Creative Cloud
2025-06-27,158.74,Shopping,Zara clothing
2025-06-27,113.84,Dining,Taco Bell late night
2025-06-27,33.54,Dining,Olive Garden dinner
2025-06-28,42.59,Dining,Taco Bell late night
2025-06-28,246.57,Groceries,Aldi supermarket
2025-06-28,151.01,Groceries,Kroger weekly shopping
2025-06-28,43.2,Transportation,Bus pass monthly
2025-06-29,54.5,Dining,Taco Bell late night
2025-06-29,158.08,Groceries,Target grocery run
2025-06-30,60.25,Dining,Olive Garden dinner
2025-06-30,116.37,Utilities,Electricity monthly charge
2025-06-30,40.12,Dining,Starbucks coffee
2025-06-30,84.56,Groceries,Aldi supermarket
2025-07-01,37.56,Dining,Thai food takeout
2025-07-01,42.86,Transportation,Parking garage fee
2025-07-01,26.01,Dining,Sushi restaurant
2025-07-02,117.53,Shopping,Nordstrom apparel
2025-07-02,34.94,Dining,Starbucks coffee
2025-07-04,24.19,Subscriptions,YouTube Premium
2025-07-05,81.14,Groceries,Fresh produce market
2025-07-05,112.59,Groceries,Aldi supermarket
2025-07-05,77.65,Entertainment,Museum admission
2025-07-05,73.45,Entertainment,Concert admission
2025-07-06,37.13,Entertainment,Escape room experience
2025-07-06,134.65,Groceries,Target grocery run
2025-07-07,24.26,Dining,Panda Express
2025-07-07,106.37,Groceries,Kroger weekly shopping
2025-07-07,1563.66,Rent,Housing lease payment
2025-07-07,269.63,Groceries,Safeway essentials
2025-07-07,37.18,Dining,Olive Garden dinner
2025-07-07,-5035.23,Salary,Paycheck direct deposit
2025-07-08,152.53,Shopping,Apple Store accessory
2025-07-08,73.76,Entertainment,Museum admission
2025-07-08,86.14,Groceries,Aldi supermarket
2025-07-08,1657.63,Groceries,UNUSUAL: Trader Joe's groceries
2025-07-08,74.94,Transportation,Gas station fill-up
2025-07-09,22.3,Dining,Burger King drive-thru
2025-07-09,27.65,Subscriptions,Amazon Prime renewal
2025-07-10,63.01,Groceries,Trader Joe's groceries
2025-07-10,42.45,Transportation,Train ticket
2025-07-11,93.64,Entertainment,Escape room experience
2025-07-11,522.87,Healthcare,Lab work fees
2025-07-11,1276.56,Shopping,UNUSUAL: Zara clothing
2025-07-12,28.42,Dining,Taco Bell late night
2025-07-12,116.59,Groceries,Local farmer's market
2025-07-12,37.97,Dining,Taco Bell late night
2025-07-13,161.3,Shopping,IKEA furniture
2025-07-13,68.58,Entertainment,Arcade gaming
2025-07-13,100.72,Shopping,Nike online purchase
2025-07-13,52.94,Transportation,Subway fare
2025-07-14,62.71,Dining,Chipotle lunch
2025-07-14,163.88,Healthcare,Eye exam appointment
2025-07-15,116.94,Shopping,Zara clothing
2025-07-16,387.63,Healthcare,Health insurance copay
2025-07-16,153.11,Utilities,Electricity monthly charge
2025-07-16,41.95,Dining,Domino's pizza order
2025-07-16,97.48,Dining,Burger King drive-thru
2025-07-17,275.95,Utilities,Comcast internet
2025-07-17,47.86,Dining,Starbucks coffee
2025-07-17,36.08,Transportation,Lyft trip
2025-07-18,96.39,Groceries,Trader Joe's groceries
2025-07-18,318.56,Shopping,Target household items
2025-07-19,45.67,Transportation,Gas station fill-up
2025-07-20,368.35,Groceries,Aldi supermarket
2025-07-20,137.23,Groceries,Aldi supermarket
2025-07-20,33.83,Dining,Sushi restaurant
2025-07-20,44.01,Dining,Domino's pizza order
2025-07-21,88.79,Entertainment,Movie theater tickets
2025-07-21,64.58,Entertainment,Streaming movie rental
2025-07-21,33.12,Dining,Local cafe breakfast
2025-07-21,162.64,Shopping,Nike online purchase
2025-07-21,120.08,Groceries,Fresh produce market
2025-07-22,233.95,Shopping,Apple Store accessory
2025-07-22,190.41,Shopping,Target household items
2025-07-22,97.17,Groceries,Costco bulk buy
2025-07-23,73.81,Dining,Taco Bell late night
2025-07-23,90.38,Dining,Domino's pizza order
2025-07-24,78.16,Dining,Domino's pizza order
2025-07-24,23.19,Dining,Burger King drive-thru
2025-07-24,139.29,Groceries,Local farmer's market
2025-07-24,220.49,Groceries,Costco bulk buy
2025-07-24,52.22,Transportation,Train ticket
2025-07-25,72.97,Transportation,Subway fare
2025-07-25,228.28,Healthcare,Health insurance copay
2025-07-25,111.75,Entertainment,Theme park tickets
2025-07-25,101.02,Utilities,Water utility bill
2025-07-25,149.96,Healthcare,Eye exam appointment
2025-07-25,279.94,Shopping,Apple Store accessory
2025-07-26,53.88,Dining,Panda Express
2025-07-26,76.41,Entertainment,Comedy show tickets
2025-07-27,191.77,Groceries,Local farmer's market
2025-07-27,84.53,Shopping,Etsy handmade item
2025-07-27,58.82,Dining,McDonald's meal
2025-07-27,69.73,Dining,Burger King drive-thru
2025-07-27,98.12,Shopping,Etsy handmade item
2025-07-28,59.84,Groceries,Aldi supermarket
2025-07-28,42.71,Dining,Domino's pizza order
2025-07-28,25.5,Dining,Starbucks coffee
2025-07-28,330.72,Healthcare,Lab work fees
2025-07-29,290.51,Healthcare,Eye exam appointment
2025-07-29,220.16,Shopping,Etsy handmade item
2025-07-29,98.92,Shopping,Nordstrom apparel
2025-07-29,28.07,Dining,Sushi restaurant
2025-07-29,40.22,Subscriptions,Spotify premium
2025-07-30,26.63,Dining,McDonald's meal
2025-07-30,60.75,Entertainment,Arcade gaming
2025-07-31,186.47,Shopping,Best Buy electronics
2025-07-31,33.79,Dining,Sushi restaurant
2025-07-31,25.42,Subscriptions,Disney+ subscription
2025-07-31,101.32,Utilities,Comcast internet
2025-07-31,188.81,Shopping,Home Depot supplies
2025-08-01,165.96,Shopping,Amazon order
2025-08-02,46.49,Dining,Panda Express
2025-08-02,131.13,Groceries,Walmart grocery purchase
2025-08-02,42.59,Transportation,Bus pass monthly
2025-08-02,117.35,Groceries,Costco bulk buy
2025-08-03,197.3,Utilities,AT&T phone plan
2025-08-03,104.84,Groceries,Safeway essentials
2025-08-03,191.33,Groceries,Aldi supermarket
2025-08-03,98.09,Utilities,Comcast internet
2025-08-03,32.62,Dining,Chipotle lunch
2025-08-04,97.61,Transportation,Train ticket
2025-08-04,106.34,Entertainment,Theme park tickets
2025-08-04,49.33,Transportation,Train ticket
2025-08-05,27.74,Transportation,Toll road charge
2025-08-05,77.37,Groceries,Aldi supermarket
2025-08-05,202.78,Utilities,Water utility bill
2025-08-06,132.32,Groceries,Fresh produce market
2025-08-07,26.82,Dining,McDonald's meal
2025-08-07,153.7,Entertainment,Bowling alley
2025-08-07,454.37,Transportation,UNUSUAL: Train ticket
2025-08-07,-2861.26,Salary,Bi-weekly paycheck
2025-08-07,37.71,Dining,Olive Garden dinner
2025-08-07,148.88,Utilities,Gas company payment
2025-08-08,200.69,Healthcare,Eye exam appointment
2025-08-08,1518.44,Rent,Housing lease payment
2025-08-08,48.57,Dining,Taco Bell late night
2025-08-08,152.25,Groceries,Target grocery run
2025-08-08,203.42,Shopping,Etsy handmade item
